algo,exp_label,req_id,src,dst,sp_hop,chosen_hop,detour,in_path_set,tree_depth,purify_rounds,fidelity,prob,finish_t,outcome
SP_skewed,tao=0.010000 Round=0,10,12,29,3,3,0,1,2,1|1|1,0.851616,0.605588,6,accepted
SP_skewed,tao=0.010000 Round=0,11,6,19,4,4,0,1,3,1|1|1|1,0.818064,0.505039,7,accepted
SP_skewed,tao=0.010000 Round=0,12,27,18,3,3,0,1,2,1|1|1,0.851687,0.606037,9,accepted
SP_skewed,tao=0.010000 Round=0,13,12,21,3,3,0,1,2,1|1|1,0.84123,0.593306,7,accepted
SP_skewed,tao=0.010000 Round=0,14,17,27,4,4,0,1,3,1|1|1|1,0.811439,0.49803,9,accepted
SP_skewed,tao=0.010000 Round=0,15,19,12,3,3,0,1,2,1|1|1,0.851707,0.606343,6,accepted
SP_skewed,tao=0.010000 Round=0,16,6,7,4,4,0,1,3,1|1|1|1,0.812506,0.499182,12,accepted
SP_skewed,tao=0.010000 Round=0,17,16,19,4,4,0,1,3,1|1|1|1,0.814568,0.501365,10,accepted
SP_skewed,tao=0.010000 Round=0,18,21,15,3,3,0,1,2,1|1|1,0.843883,0.596443,10,accepted
SP_skewed,tao=0.010000 Round=0,19,12,14,2,2,0,1,1,0|0,0.849304,0.9,6,accepted
SP_skewed,tao=0.010000 Round=0,20,23,16,3,3,0,1,2,1|1|1,0.844194,0.596737,5,accepted
SP_skewed,tao=0.010000 Round=0,21,17,3,4,4,0,1,3,1|1|1|1,0.802983,0.488812,12,accepted
SP_skewed,tao=0.010000 Round=0,22,9,15,4,5,1,0,4,3|3|3|3|3,0.807193,0.176602,12,accepted
SP_skewed,tao=0.010000 Round=0,23,24,29,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_mem
SP_skewed,tao=0.010000 Round=0,24,21,13,2,2,0,1,1,0|0,0.894328,0.9,3,accepted
SP_skewed,tao=0.010000 Round=0,25,24,12,4,4,0,0,3,1|1|1|1,0.819717,0.50705,12,accepted
SP_skewed,tao=0.010000 Round=0,26,29,11,4,5,1,0,4,2|2|2|2|2,0.807166,0.27797,12,accepted
SP_skewed,tao=0.010000 Round=0,27,0,23,4,4,0,1,3,1|1|1|1,0.819429,0.50641,12,accepted
SP_skewed,tao=0.010000 Round=0,28,15,11,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
SP_skewed,tao=0.010000 Round=0,29,17,20,3,3,0,1,2,1|1|1,0.843747,0.596219,12,accepted
SP_balanced,tao=0.010000 Round=0,0,5,13,4,4,0,1,2,1|1|1|1,0.830657,0.518588,5,accepted
SP_balanced,tao=0.010000 Round=0,1,8,27,3,3,0,1,2,0|0|0,0.822123,0.81,4,accepted
SP_balanced,tao=0.010000 Round=0,2,10,23,4,4,0,1,2,1|1|1|1,0.804261,0.490404,5,accepted
SP_balanced,tao=0.010000 Round=0,3,18,19,3,3,0,1,2,0|0|0,0.84104,0.81,4,accepted
SP_balanced,tao=0.010000 Round=0,4,8,28,4,4,0,1,2,1|1|1|1,0.812548,0.499234,5,accepted
SP_balanced,tao=0.010000 Round=0,5,23,2,4,4,0,1,2,1|1|1|1,0.808378,0.494728,7,accepted
SP_balanced,tao=0.010000 Round=0,6,14,29,2,2,0,1,1,0|0,0.853197,0.9,3,accepted
SP_balanced,tao=0.010000 Round=0,7,26,6,3,3,0,1,2,1|1|1,0.838507,0.590009,8,accepted
SP_balanced,tao=0.010000 Round=0,8,10,29,3,3,0,1,2,1|1|1,0.844431,0.59717,5,accepted
SP_balanced,tao=0.010000 Round=0,9,15,21,3,3,0,1,2,1|1|1,0.843883,0.596443,5,accepted
SP_balanced,tao=0.010000 Round=0,10,12,29,3,3,0,1,2,1|1|1,0.851624,0.605588,7,accepted
SP_balanced,tao=0.010000 Round=0,11,6,19,4,4,0,1,2,1|1|1|1,0.818199,0.505039,7,accepted
SP_balanced,tao=0.010000 Round=0,12,27,18,3,3,0,1,2,1|1|1,0.851726,0.606037,9,accepted
SP_balanced,tao=0.010000 Round=0,13,12,21,3,3,0,1,2,1|1|1,0.841232,0.593306,7,accepted
SP_balanced,tao=0.010000 Round=0,14,17,27,4,4,0,1,2,1|1|1|1,0.811531,0.49803,8,accepted
SP_balanced,tao=0.010000 Round=0,15,19,12,3,3,0,1,2,1|1|1,0.85167,0.606343,5,accepted
SP_balanced,tao=0.010000 Round=0,16,6,7,4,4,0,1,2,1|1|1|1,0.812643,0.499182,10,accepted
SP_balanced,tao=0.010000 Round=0,17,16,19,4,4,0,1,2,1|1|1|1,0.814709,0.501365,10,accepted
